unnamed: 0,job title,job type,company name,posted date,cities,states,stipend,start date,duration,numer of openings,late date to apply,combined_text
0,IT & E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",06-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1.0,12-11-2023,"IT & E-GOVERNANCE State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
1,WATER AND USED WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",06-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,6.0,12-11-2023,"WATER AND USED WATER TREATMENT State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
2,MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",16-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1.0,12-11-2023,"MUNICIPAL FINANCE State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
3,CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",19-10-2023,Thiruvananthapuram,Kerala,10000 /month,Immediately,7 Months,1.0,12-11-2023,"CAPACITY BUILDING AND URBAN REFORMS State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 7 Months"
4,IT & E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,15-12-2023,Chandigarh,Punjab,12000 /month,Immediately,6 Months,2.0,13-01-2024,IT & E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC Punjab Municipal Infrastructure Development Company Chandigarh Punjab 12000 /month 6 Months
5,CAPACITY BUILDING INTERN REQUIRED AT CHANDIGARH,Full Time,Punjab Municipal Infrastructure Development Company,15-02-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1.0,18-02-2024,CAPACITY BUILDING INTERN REQUIRED AT CHANDIGARH Punjab Municipal Infrastructure Development Company Chandigarh Punjab 12000 /month 6 Months
6,ENVIRONMENTAL ASSISTANT  INTERN,Full Time,Punjab Municipal Infrastructure Development Company,26-02-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1.0,28-02-2024,ENVIRONMENTAL ASSISTANT  INTERN Punjab Municipal Infrastructure Development Company Chandigarh Punjab 12000 /month 6 Months
7,MUNICIPAL FINANCE,Full Time,Kannur Municipal Corporation,29-02-2024,Kannur,Kerala,10000 /month,Immediately,6 Months,1.0,09-03-2024,MUNICIPAL FINANCE Kannur Municipal Corporation Kannur Kerala 10000 /month 6 Months
8,REJUVENATION & RENOVATION OF POND PROJECTSS UNDER AMRUT SCHEME,Full Time,Chas Municipal Corporation,04-06-2024,Bokaro,Jharkhand,Unpaid,Immediately,8 Weeks,2.0,28-06-2024,REJUVENATION & RENOVATION OF POND PROJECTSS UNDER AMRUT SCHEME Chas Municipal Corporation Bokaro Jharkhand Unpaid 8 Weeks
9,FINANCE INTERN,Full Time,Thrissur Municipal Corporation,18-06-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1.0,12-07-2024,FINANCE INTERN Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
